The list below shows every twentieth entry from the 100,000 word list (http://www.wordfrequency.info/100k.asp) that is
based on the 450 million word Corpus of Contemporary American English (COCA; http://corpus.byu.edu/coca).

These words are taken completely at random -- every twentieth word. No attempt has been made to "clean up" this particular list, 
beyond our regular correction efforts for all 100,000 words. While the list is not perfect, we would argue that it is much more 
accurate than any other 100,000 word list (see #4 at http://www.wordfrequency.info/100k_compare.asp).


This sample list shows just six pieces of information for each word (including the raw frequency in COCA* and the number of
texts in COCA that have the word#). The full list, on the other hand, includes more than 50 pieces of data, 
including the frequency  in other BYU corpora (http://corpus.byu.edu), such as BYU-BNC, COHA, and SOAP, as well as 
specific genres within these corpora, such as spoken, fiction, magazines, newspapers, and academic.



rank	freq*	texts#	word	lemma	PoS (part of speech; see http://ucrel.lancs.ac.uk/claws7tags.html)
25660	553	431	cappuccino	cappuccino	nn1
25680	552	460	sodas	soda	nn2
25700	551	483	grumpy	grumpy	jj
25720	550	528	chronicles	chronicle	vvz
25740	549	525	raging	rage	vvg
25760	548	535	enviable	enviable	jj
25780	548	317	oncology	oncology	nn1
25800	547	400	bio	bio	nn1
25820	546	459	affections	affection	nn2
25840	545	443	patina	patina	nn1
25860	544	510	lithe	lithe	jj
25880	544	201	palliative	palliative	jj
25900	543	376	contagion	contagion	nn1
25920	542	427	activated	activate	vvd
25940	541	474	exempted	exempt	vvn
25960	540	501	weakens	weaken	vvz
25980	539	510	omnipresent	omnipresent	jj
26000	539	325	nomads	nomad	nn2
26020	538	378	manhunt	manhunt	nn1
26040	537	471	diplomatically	diplomatically	rr
26060	537	170	supernovae	supernova	nn2
26080	536	419	bully	bully	vv0
26100	535	195	sonnet	sonnet	nn1
26120	534	419	unbeaten	unbeaten	jj
26140	533	452	across-the-board	across-the-board	jj
26160	532	508	resonated	resonate	vvd
26180	531	505	regrettable	regrettable	jj
26200	531	396	boobs	boob	nn2
26220	530	463	offensively	offensively	rr
26240	530	331	otherness	otherness	nn1
26260	529	385	crusts	crust	nn2
26280	528	434	runny	runny	jj
26300	527	493	provokes	provoke	vvz
26320	527	438	pleated	pleated	jj
26340	526	475	intercepted	intercept	vvd
26360	525	511	amazed	amaze	vvn
26380	525	412	thaw	thaw	nn1
26400	524	400	subconscious	subconscious	nn1
26420	523	344	marchers	marcher	nn2
26440	522	326	grassland	grassland	nn1
26460	521	471	unresponsive	unresponsive	jj
26480	520	485	floods	flood	vvz
26500	520	212	jigs	jig	nn2
26520	519	320	sycamore	sycamore	nn1
26540	518	433	escapes	escape	nn2
26560	517	497	narrow	narrow	vv0
26580	517	305	quadrant	quadrant	nn1
26600	516	435	buttered	buttered	jj
26620	515	457	included	included	jj
26640	515	121	subtests	subtest	nn2
26660	514	343	stilts	stilt	nn2
26680	513	444	forty-six	forty-six	mc
26700	512	452	whine	whine	vv0
26720	511	480	terse	terse	jj
26740	510	484	juggernaut	juggernaut	nn1
26760	510	354	maestro	maestro	nn1
26780	509	450	moonlit	moonlit	jj
26800	508	483	likened	liken	vvn
26820	507	478	instantaneously	instantaneously	rr
26840	507	289	sultan	sultan	nn1
26860	506	236	pardons	pardon	nn2
26880	505	299	sorbet	sorbet	nn1
26900	504	353	raccoons	raccoon	nn2
26920	503	451	sunsets	sunset	nn2
26940	503	138	congolese	congolese	jj
26960	502	306	minivans	minivan	nn2
26980	501	438	rust	rust	vv0
27000	500	451	self-centered	self-centered	jj
27020	500	221	git	git	nn1
27040	499	409	probes	probe	vvz
27060	498	443	savagely	savagely	rr
27080	497	457	stash	stash	vv0
27100	497	316	blocker	blocker	nn1
27120	496	340	bumpers	bumper	nn2
27140	495	403	grins	grin	vvz
27160	494	452	isolating	isolating	jj
27180	494	214	folic	folic	jj
27200	493	379	oeuvre	oeuvre	nn1
27220	492	430	rig	rig	vv0
27240	491	434	regionally	regionally	rr
27260	490	468	complicating	complicating	jj
27280	490	341	goddesses	goddess	nn2
27300	489	442	one-stop	one-stop	jj
27320	488	465	energized	energize	vvn
27340	488	316	paramedic	paramedic	nn1
27360	487	407	shortfalls	shortfall	nn2
27380	486	452	branch	branch	vv0
27400	486	351	thong	thong	nn1
27420	485	431	curved	curve	vvd
27440	484	466	engulfed	engulf	vvn
27460	484	418	rebuilt	rebuilt	jj
27480	483	457	plotted	plot	vvd
27500	483	254	sow	sow	nn1
27520	482	339	pretend	pretend	jj
27540	481	342	nurture	nurture	nn1
27560	480	431	screened	screen	vvd
27580	479	453	rearranging	rearrange	vvg
27600	479	360	anti-communist	anti-communist	jj
27620	478	448	clustered	cluster	vvn
27640	478	332	mid-level	mid-level	jj
27660	477	438	exercised	exercise	vvd
27680	477	187	cyst	cyst	nn1
27700	476	347	calculators	calculator	nn2
27720	475	450	channeled	channel	vvn
27740	475	378	downsizing	downsize	vvg
27760	474	434	romantically	romantically	rr
27780	474	327	spreadsheets	spreadsheet	nn2
27800	473	413	whatnot	whatnot	nn1
27820	472	451	thrilled	thrill	vvd
27840	472	353	sprinter	sprinter	nn1
27860	471	369	casings	casing	nn2
27880	470	446	curving	curve	vvg
27900	469	423	conferring	confer	vvg
27920	469	267	correlational	correlational	jj
27940	468	362	swivel	swivel	nn1
27960	467	443	crumpled	crumple	vvd
27980	467	365	custodian	custodian	nn1
28000	466	425	shapely	shapely	jj
28020	466	228	shanks	shank	nn2
28040	465	367	cathedrals	cathedral	nn2
28060	464	353	eyelid	eyelid	nn1
28080	463	432	skewed	skewed	jj
28100	462	446	impeccably	impeccably	rr
28120	462	364	rapprochement	rapprochement	nn1
28140	461	357	washcloth	washcloth	nn1
28160	460	429	zooming	zoom	vvg
28180	459	434	beholden	beholden	jj
28200	459	330	tic	tic	nn1
28220	458	418	demonstrated	demonstrated	jj
28240	458	209	burrows	burrow	nn2
28260	457	365	slugging	slug	vvg
28280	457	223	empathic	empathic	jj
28300	456	395	dabbed	dab	vvd
28320	456	202	oscillations	oscillation	nn2
28340	455	393	evocation	evocation	nn1
28360	454	442	dazzled	dazzle	vvn
28380	454	286	alkaline	alkaline	jj
28400	453	386	bugging	bug	vvg
28420	452	410	inciting	incite	vvg
28440	452	196	managed-care	managed-care	jj
28460	451	346	terra-cotta	terra-cotta	nn1
28480	450	412	rattles	rattle	vvz
28500	450	162	screeners	screener	nn2
28520	449	399	one-bedroom	one-bedroom	jj
28540	449	230	deformation	deformation	nn1
28560	448	356	runaway	runaway	nn1
28580	447	400	streamlining	streamline	vvg
28600	447	273	weighting	weighting	nn1
28620	446	407	pooled	pool	vvn
28640	446	175	genomes	genome	nn2
28660	445	332	diction	diction	nn1
28680	444	412	clockwork	clockwork	nn1
28700	444	182	covariate	covariate	nn1
28720	443	359	vested	vest	vvn
28740	442	404	waxy	waxy	jj
28760	442	173	ginseng	ginseng	nn1
28780	441	369	comatose	comatose	jj
28800	440	409	diminishing	diminish	vvg
28820	440	291	timeout	timeout	nn1
28840	439	399	ratty	ratty	jj
28860	439	251	antibacterial	antibacterial	jj
28880	438	365	collaboratively	collaboratively	rr
28900	437	415	emanate	emanate	vv0
28920	437	275	dorsal	dorsal	jj
28940	436	346	carnal	carnal	jj
28960	435	355	snob	snob	nn1
28980	434	418	nurtured	nurture	vvd
29000	434	364	eight-hour	eight-hour	jj
29020	433	411	erroneously	erroneously	rr
29040	433	328	bungalows	bungalow	nn2
29060	432	407	innards	innards	nn2
29080	432	267	buyouts	buyout	nn2
29100	431	402	straddle	straddle	vv0
29120	431	305	astrophysics	astrophysics	nn2
29140	430	354	socialized	socialize	vvn
29160	429	415	wherewithal	wherewithal	nn1
29180	429	322	smock	smock	nn1
29200	428	384	verbatim	verbatim	rr
29220	427	412	mercilessly	mercilessly	rr
29240	427	280	ipods	ipod	nn2
29260	426	386	refurbished	refurbished	jj
29280	425	409	disparaging	disparaging	jj
29300	425	367	common-sense	common-sense	jj
29320	424	410	deepens	deepen	vvz
29340	424	321	defaults	default	nn2
29360	423	368	skimmed	skim	vvd
29380	422	400	buckled	buckle	vvn
29400	422	323	cob	cob	nn1
29420	421	393	penetrates	penetrate	vvz
29440	421	310	elixir	elixir	nn1
29460	420	394	conjured	conjure	vvd
29480	420	322	non-violent	non-violent	jj
29500	419	369	threes	three	mc
29520	419	205	regressions	regression	nn2
29540	418	338	low-grade	low-grade	jj
29560	418	33	whippy	whippy	jj
29580	417	311	prophecies	prophecy	nn2
29600	416	365	trashing	trash	vvg
29620	416	247	cursor	cursor	nn1
29640	415	377	dispassionate	dispassionate	jj
29660	415	313	middleman	middleman	nn1
29680	414	383	ruckus	ruckus	nn1
29700	414	288	bottling	bottling	nn1
29720	413	382	inaugurated	inaugurate	vvn
29740	413	286	cockroach	cockroach	nn1
29760	412	375	processed	process	vvd
29780	411	388	sit	sit	nn1
29800	411	227	artisanal	artisanal	jj
29820	410	373	peculiarities	peculiarity	nn2
29840	410	137	chicano	chicano	nn1
29860	409	282	linguistically	linguistically	rr
29880	408	345	moored	moor	vvn
29900	408	182	acoustical	acoustical	jj
29920	407	373	empowers	empower	vvz
29940	406	383	unsettled	unsettle	vvn
29960	406	325	fevers	fever	nn2
29980	405	387	overtook	overtake	vvd
30000	405	310	zero-sum	zero-sum	jj
30020	404	378	nonchalantly	nonchalantly	rr
30040	404	312	peer-reviewed	peer-reviewed	jj
30060	403	349	infecting	infect	vvg
30080	403	182	leprosy	leprosy	nn1
30100	402	371	sauntered	saunter	vvd
30120	402	317	raves	rave	nn2
30140	401	382	disrupted	disrupt	vvd
30160	401	324	facsimile	facsimile	nn1
30180	401	111	cacao	cacao	nn1
30200	400	344	pissing	piss	vvg
30220	400	225	pistachios	pistachio	nn2
30240	399	361	alphabetical	alphabetical	jj
30260	398	385	quadrupled	quadruple	vvn
30280	398	346	negotiable	negotiable	jj
30300	398	117	pelagic	pelagic	jj
30320	397	344	imitations	imitation	nn2
30340	396	378	allay	allay	vv0
30360	396	327	growls	growl	nn2
30380	396	209	irrigated	irrigated	jj
30400	395	317	ballplayers	ballplayer	nn2
30420	394	371	orchestrate	orchestrate	vv0
30440	394	317	verve	verve	nn1
30460	393	375	towering	tower	vvg
30480	393	264	cynic	cynic	nn1
30500	392	354	salutary	salutary	jj
30520	392	230	loyalist	loyalist	jj
30540	391	346	testimonials	testimonial	nn2
30560	391	223	caseloads	caseload	nn2
30580	390	352	expedient	expedient	jj
30600	390	255	insured	insured	jj
30620	389	338	lounges	lounge	nn2
30640	389	240	pinot	pinot	nn1
30660	388	350	extrapolate	extrapolate	vv0
30680	388	250	pulley	pulley	nn1
30700	387	357	ostracized	ostracize	vvn
30720	387	300	one-piece	one-piece	jj
30740	386	357	morsel	morsel	nn1
30760	386	270	etcetera	etcetera	rr
30780	385	359	memorized	memorize	vvd
30800	385	262	pianos	piano	nn2
30820	384	357	frills	frill	nn2
30840	384	294	bronchitis	bronchitis	nn1
30860	383	364	enveloping	envelop	vvg
30880	383	287	ballplayer	ballplayer	nn1
30900	382	353	hustled	hustle	vvd
30920	382	303	marathons	marathon	nn2
30940	381	367	commended	commend	vvn
30960	381	287	superstitions	superstition	nn2
30980	380	350	claw	claw	vv0
31000	380	238	privatized	privatized	jj
31020	379	356	workhorse	workhorse	nn1
31040	379	280	backfield	backfield	nn1
31060	378	350	inflicted	inflict	vvd
31080	378	299	visionaries	visionary	nn2
31100	378	152	permafrost	permafrost	nn1
31120	377	338	mined	mine	vvd
31140	377	265	mocha	mocha	nn1
31160	376	345	strong-willed	strong-willed	jj
31180	376	177	hybridization	hybridization	nn1
31200	375	321	four-game	four-game	nn1
31220	374	356	wannabe	wannabe	nn1
31240	374	268	bicentennial	bicentennial	jj
31260	373	349	unseat	unseat	vv0
31280	373	290	steeple	steeple	nn1
31300	373	148	wills	will	vvz
31320	372	261	prow	prow	nn1
31340	371	350	sprinkling	sprinkle	vvg
31360	371	302	necktie	necktie	nn1
31380	370	352	amass	amass	vv0
31400	370	275	peels	peel	nn2
31420	369	351	nudge	nudge	nn1
31440	369	314	financiers	financier	nn2
31460	368	357	adheres	adhere	vvz
31480	368	328	pangs	pang	nn2
31500	367	347	outlive	outlive	vv0
31520	367	320	golly	golly	uh
31540	367	189	stepwise	stepwise	jj
31560	366	333	disarmed	disarm	vvn
31580	366	275	fluted	fluted	jj
31600	365	350	excels	excel	vvz
31620	365	305	commonsense	commonsense	jj
31640	365	174	tunisian	tunisian	jj
31660	364	335	baffled	baffled	jj
31680	364	231	paleontologist	paleontologist	nn1
31700	363	325	inexcusable	inexcusable	jj
31720	362	353	fanned	fan	vvn
31740	362	214	elms	elm	nn2
31760	361	327	tipsy	tipsy	jj
31780	361	257	deductibles	deductible	nn2
31800	360	334	long-sleeved	long-sleeved	jj
31820	360	276	fables	fable	nn2
31840	359	326	obstructed	obstruct	vvn
31860	359	250	miniatures	miniature	nn2
31880	358	324	cooperated	cooperate	vvn
31900	358	274	orator	orator	nn1
31920	357	344	world-renowned	world-renowned	jj
31940	357	232	duster	duster	nn1
31960	356	327	softening	softening	nn1
31980	356	257	roughness	roughness	nn1
32000	355	338	rebelled	rebel	vvd
32020	355	281	moralistic	moralistic	jj
32040	354	340	veering	veer	vvg
32060	354	283	hawkish	hawkish	jj
32080	353	334	incurring	incur	vvg
32100	353	272	silos	silo	nn2
32120	352	329	indescribable	indescribable	jj
32140	352	263	jocks	jock	nn2
32160	351	335	roused	rouse	vvn
32180	351	277	ironclad	ironclad	nn1
32200	351	159	cortical	cortical	jj
32220	350	298	pipe	pipe	vv0
32240	350	173	zionists	zionist	nn2
32260	349	318	cleansed	cleanse	vvn
32280	349	231	sulfate	sulfate	nn1
32300	348	321	clasping	clasp	vvg
32320	348	244	zoological	zoological	jj
32340	347	324	unguarded	unguarded	jj
32360	347	247	admirals	admiral	nn2
32380	346	333	inflamed	inflame	vvn
32400	346	307	withered	withered	jj
32420	346	240	multinationals	multinational	nn2
32440	345	308	droning	drone	vvg
32460	345	237	ergonomic	ergonomic	jj
32480	344	335	prided	pride	vvd
32500	344	236	carcinogenic	carcinogenic	jj
32520	343	320	distanced	distance	vvn
32540	343	244	interventionist	interventionist	jj
32560	342	316	star-studded	star-studded	jj
32580	342	223	riser	riser	nn1
32600	341	313	dyed	dye	vvd
32620	341	249	crude	crude	nn1
32640	341	130	femoral	femoral	jj
32660	340	313	cleverness	cleverness	nn1
32680	340	173	in-class	in-class	jj
32700	339	298	steal	steal	nn1
32720	339	195	lecturers	lecturer	nn2
32740	338	309	replied	reply	vvn
32760	338	273	strangled	strangle	vvd
32780	337	318	scarier	scary	jjr
32800	337	276	certifying	certify	vvg
32820	336	321	delineated	delineate	vvd
32840	336	283	mercenary	mercenary	jj
32860	336	208	sweatshop	sweatshop	nn1
32880	335	313	trite	trite	jj
32900	335	277	unsound	unsound	jj
32920	334	317	irrefutable	irrefutable	jj
32940	334	273	sculpting	sculpting	nn1
32960	334	205	pacemaker	pacemaker	nn1
32980	333	311	brawny	brawny	jj
33000	333	256	crustaceans	crustacean	nn2
33020	332	319	buffeted	buffet	vvn
33040	332	303	weirdest	weird	jjt
33060	332	218	trowel	trowel	nn1
33080	331	311	stodgy	stodgy	jj
33100	331	263	cancellations	cancellation	nn2
33120	331	106	tutsi	tutsi	jj
33140	330	297	insulted	insult	vvd
33160	330	198	squatter	squatter	nn1
33180	329	303	hands-off	hands-off	jj
33200	329	216	semisweet	semisweet	jj
33220	328	313	unearthed	unearth	vvd
33240	328	264	oldies	oldy	nn2
33260	327	316	headquartered	headquarter	vvn
33280	327	292	huffed	huff	vvd
33300	327	218	debriefing	debrief	vvg
33320	326	308	five-hour	five-hour	jj
33340	326	285	flicked	flick	vvn
33360	326	149	declination	declination	nn1
33380	325	293	confiscate	confiscate	vv0
33400	325	215	executor	executor	nn1
33420	324	308	dissecting	dissect	vvg
33440	324	268	typed	typed	jj
33460	324	181	aquariums	aquarium	nn2
33480	323	262	divider	divider	nn1
33500	322	298	family-oriented	family-oriented	jj
33520	322	249	growths	growth	nn2
33540	321	308	upped	up	vvd
33560	321	242	taffeta	taffeta	nn1
33580	320	310	strictest	strict	jjt
33600	320	277	capitulation	capitulation	nn1
33620	320	154	smoke-free	smoke-free	jj
33640	319	286	queried	query	vvd
33660	319	236	spaceships	spaceship	nn2
33680	319	133	biomechanical	biomechanical	jj
33700	318	296	straddled	straddle	vvd
33720	318	221	regenerative	regenerative	jj
33740	317	304	quixotic	quixotic	jj
33760	317	236	astrology	astrology	nn1
33780	316	305	back-and-forth	back-and-forth	jj
33800	316	291	vicariously	vicariously	rr
33820	316	223	pianists	pianist	nn2
33840	315	299	outlay	outlay	nn1
33860	315	227	four-point	four-point	jj
33880	314	304	cloying	cloying	jj
33900	314	271	self-preservation	self-preservation	nn1
33920	314	166	sledge	sledge	nn1
33940	313	293	charred	char	vvd
33960	313	267	unrealized	unrealized	jj
33980	313	194	syndicates	syndicate	nn2
34000	312	278	puffs	puff	vvz
34020	312	201	graded	graded	jj
34040	311	297	eclipse	eclipse	vv0
34060	311	275	upwardly	upwardly	rr
34080	311	175	fleck	fleck	nn1
34100	310	283	hindering	hinder	vvg
34120	310	221	mother-daughter	mother-daughter	jj
34140	309	290	seductively	seductively	rr
34160	309	234	reimbursements	reimbursement	nn2
34180	308	298	broken-down	broken-down	jj
34200	308	269	eyed	eyed	jj
34220	308	195	vocations	vocation	nn2
34240	307	289	squash	squash	vv0
34260	307	250	wads	wad	nn2
34280	307	125	goldenrod	goldenrod	nn1
34300	306	281	imitators	imitator	nn2
34320	306	176	micrograms	microgram	nn2
34340	305	285	presentable	presentable	jj
34360	305	225	small-group	small-group	jj
34380	304	289	refurbished	refurbish	vvn
34400	304	224	chivalry	chivalry	nn1
34420	303	280	rearranged	rearrange	vvn
34440	303	214	voids	void	nn2
34460	302	287	befuddled	befuddled	jj
34480	302	258	leveraging	leverage	vvg
34500	302	176	evaluator	evaluator	nn1
34520	301	290	bundle	bundle	vv0
34540	301	271	ironed	iron	vvn
34560	301	208	patrimony	patrimony	nn1
34580	300	286	penned	pen	vvn
34600	300	261	nerdy	nerdy	jj
34620	300	130	highlander	highlander	nn1
34640	299	266	raunchy	raunchy	jj
34660	299	200	barbarian	barbarian	jj
34680	298	282	arched	arch	vvn
34700	298	244	analytically	analytically	rr
34720	298	134	mestizo	mestizo	nn1
34740	297	276	fantastical	fantastical	jj
34760	297	240	pervasiveness	pervasiveness	nn1
34780	297	167	moslems	moslem	nn2
34800	296	277	invades	invade	vvz
34820	296	224	misogyny	misogyny	nn1
34840	296	167	elongation	elongation	nn1
34860	295	275	transferred	transferred	jj
34880	295	240	musculature	musculature	nn1
34900	294	285	personalized	personalize	vvd
34920	294	268	limply	limply	rr
34940	294	213	site-specific	site-specific	jj
34960	293	283	sinewy	sinewy	jj
34980	293	251	redder	red	jjr
35000	293	154	gopher	gopher	nn1
35020	292	256	differentiating	differentiating	jj
35040	292	176	mime	mime	nn1
35060	291	274	hardening	hardening	nn1
35080	291	240	statistician	statistician	nn1
35100	291	152	carotene	carotene	nn1
35120	290	268	rework	rework	vv0
35140	290	234	armrest	armrest	nn1
35160	290	177	yin	yin	nn1
35180	289	277	tearfully	tearfully	rr
35200	289	231	snags	snag	nn2
35220	288	283	waned	wane	vvn
35240	288	260	one-sixth	one-sixth	mf
35260	288	215	bolts	bolt	vvz
35280	288	120	norse	norse	nn1
35300	287	264	hunks	hunk	nn2
35320	287	231	gunships	gunship	nn2
35340	287	189	spank	spank	vv0
35360	286	270	engendered	engender	vvd
35380	286	240	incarcerated	incarcerate	vvd
35400	286	104	racialized	racialized	jj
35420	285	248	sartorial	sartorial	jj
35440	285	200	mixed-use	mixed-use	jj
35460	284	278	grumble	grumble	vv0
35480	284	256	rediscovery	rediscovery	nn1
35500	284	209	psychoanalyst	psychoanalyst	nn1
35520	284	145	autonomic	autonomic	jj
35540	283	259	oiled	oil	vvd
35560	283	204	busters	buster	nn2
35580	283	81	phonemic	phonemic	jj
35600	282	244	third-place	third-place	jj
35620	282	149	attenuation	attenuation	nn1
35640	281	267	well-prepared	well-prepared	jj
35660	281	245	shoelaces	shoelace	nn2
35680	281	202	interactivity	interactivity	nn1
35700	280	268	liken	liken	vv0
35720	280	239	gagged	gag	vvn
35740	280	175	craps	crap	nn2
35760	279	261	indecipherable	indecipherable	jj
35780	279	183	plunger	plunger	nn1
35800	278	265	paralyze	paralyze	vv0
35820	278	235	canines	canine	nn2
35840	278	167	indeterminacy	indeterminacy	nn1
35860	277	263	funds	fund	vvz
35880	277	244	blasphemous	blasphemous	jj
35900	277	192	deviance	deviance	nn1
35920	276	267	re-evaluate	re-evaluate	vv0
35940	276	248	six-inch	six-inch	jj
35960	276	214	godly	godly	jj
35980	276	134	starlings	starling	nn2
36000	275	252	honorably	honorably	rr
36020	275	208	hitchhiking	hitchhike	vvg
36040	275	98	afrikaner	afrikaner	jj
36060	274	253	rescind	rescind	vv0
36080	274	230	imprints	imprint	nn2
36100	274	183	paleontology	paleontology	nn1
36120	273	266	agonized	agonize	vvd
36140	273	241	stiletto	stiletto	nn1
36160	273	205	solitaire	solitaire	nn1
36180	272	261	swallowed	swallowed	jj
36200	272	247	woozy	woozy	jj
36220	272	195	certifications	certification	nn2
36240	272	85	diasporic	diasporic	jj
36260	271	248	swerving	swerve	vvg
36280	271	225	tilted	tilted	jj
36300	271	140	cultivar	cultivar	nn1
36320	270	251	reconstitute	reconstitute	vv0
36340	270	228	ramparts	rampart	nn2
36360	270	138	platelets	platelet	nn2
36380	269	252	worshipped	worship	vvd
36400	269	229	trots	trot	vvz
36420	269	120	self-management	self-management	jj
36440	268	251	lengthened	lengthen	vvd
36460	268	235	finisher	finisher	nn1
36480	268	188	rivets	rivet	nn2
36500	267	264	then-president	then-president	nn1
36520	267	236	hand-to-hand	hand-to-hand	jj
36540	267	206	yarns	yarn	nn2
36560	267	129	parametric	parametric	jj
36580	266	246	drafty	drafty	jj
36600	266	211	churn	churn	nn1
36620	266	171	asiatic	asiatic	jj
36640	265	246	prancing	prance	vvg
36660	265	222	snorts	snort	vvz
36680	265	159	prisms	prism	nn2
36700	264	255	degenerated	degenerate	vvn
36720	264	241	typified	typify	vvn
36740	264	171	adapters	adapter	nn2
36760	263	247	hard-hit	hard-hit	jj
36780	263	216	excavated	excavate	vvd
36800	263	171	shortwave	shortwave	nn1
36820	262	252	decreed	decree	vvn
36840	262	234	rebut	rebut	vv0
36860	262	193	corrected	corrected	jj
36880	262	146	loci	locus	nn2
36900	261	246	haunt	haunt	nn1
36920	261	213	foreclose	foreclose	vv0
36940	261	138	reprocessing	reprocessing	nn1
36960	260	236	spangled	spangled	jj
36980	260	205	pushers	pusher	nn2
37000	260	165	self-criticism	self-criticism	nn1
37020	259	244	impedes	impede	vvz
37040	259	201	two-car	two-car	jj
37060	259	130	sea-level	sea-level	jj
37080	258	240	gold-plated	gold-plated	jj
37100	258	216	unpeeled	unpeeled	jj
37120	258	132	sabre	sabre	nn1
37140	257	243	five-time	five-time	jj
37160	257	229	dabs	dab	nn2
37180	257	193	quadriplegic	quadriplegic	jj
37200	257	105	malay	malay	jj
37220	256	234	swatting	swat	vvg
37240	256	207	indulgences	indulgence	nn2
37260	255	249	backfired	backfire	vvd
37280	255	225	single-season	single-season	jj
37300	255	202	scabs	scab	nn2
37320	254	250	smacks	smack	nn2
37340	254	215	purifying	purify	vvg
37360	254	137	liminal	liminal	jj
37380	253	239	ceaselessly	ceaselessly	rr
37400	253	228	one-person	one-person	jj
37420	253	194	hustlers	hustler	nn2
37440	253	136	censuses	census	nn2
37460	252	241	worrying	worry	vvg
37480	252	231	blacked	black	vvd
37500	252	208	mans	man	nn2
37520	252	138	stencil	stencil	nn1
37540	251	241	frustrates	frustrate	vvz
37560	251	212	poof	poof	nn1
37580	251	144	headrest	headrest	nn1
37600	250	234	off-balance	off-balance	jj
37620	250	215	king-size	king-size	jj
37640	250	179	schizophrenic	schizophrenic	nn1
37660	249	241	permeated	permeate	vvn
37680	249	227	reaffirming	reaffirm	vvg
37700	249	184	handball	handball	nn1
37720	249	73	muskie	muskie	nn1
37740	248	228	disengaged	disengage	vvn
37760	248	190	vanities	vanity	nn2
37780	248	115	outboards	outboard	nn2
37800	247	232	ghoulish	ghoulish	jj
37820	247	201	re-sign	re-sign	vv0
37840	247	160	resurrected	resurrected	jj
37860	246	234	proportioned	proportion	vvn
37880	246	216	sprinkles	sprinkle	vvz
37900	246	165	copyrights	copyright	nn2
37920	245	237	irresistibly	irresistibly	rr
37940	245	212	suffocation	suffocation	nn1
37960	245	141	quills	quill	nn2
37980	244	232	disregarded	disregard	vvd
38000	244	213	democratize	democratize	vv0
38020	244	188	raffle	raffle	nn1
38040	243	238	now-famous	now-famous	jj
38060	243	227	detest	detest	vv0
38080	243	208	dud	dud	nn1
38100	243	177	mutuality	mutuality	nn1
38120	243	35	cross-strait	cross-strait	jj
38140	242	225	tactful	tactful	jj
38160	242	199	disconnection	disconnection	nn1
38180	242	163	eggnog	eggnog	nn1
38200	241	236	inquiring	inquire	vvg
38220	241	220	forwarded	forward	vvd
38240	241	183	bellow	bellow	nn1
38260	241	128	magellanic	magellanic	jj
38280	240	232	high-ceilinged	high-ceilinged	jj
38300	240	215	buzzes	buzz	vvz
38320	240	181	damned	damn	vvd
38340	239	234	decrying	decry	vvg
38360	239	221	mournfully	mournfully	rr
38380	239	194	hydraulics	hydraulics	nn1
38400	239	147	compressors	compressor	nn2
38420	238	231	accentuated	accentuate	vvn
38440	238	217	dented	dented	jj
38460	238	174	osmosis	osmosis	nn1
38480	237	234	tailspin	tailspin	nn1
38500	237	216	holdover	holdover	nn1
38520	237	175	parsing	parse	vvg
38540	237	57	billfish	billfish	nn1
38560	236	221	massacred	massacre	vvn
38580	236	204	exonerate	exonerate	vv0
38600	236	164	croissant	croissant	nn1
38620	235	225	appetizing	appetizing	jj
38640	235	214	pinpoints	pinpoint	vvz
38660	235	184	batons	baton	nn2
38680	235	151	ovary	ovary	nn1
38700	234	224	adorning	adorn	vvg
38720	234	214	overrun	overrun	vv0
38740	234	199	adrenalin	adrenalin	nn1
38760	234	137	burlesque	burlesque	jj
38780	233	226	freakish	freakish	jj
38800	233	212	stages	stage	vvz
38820	233	184	technologist	technologist	nn1
38840	233	127	burlesque	burlesque	nn1
38860	232	221	generically	generically	rr
38880	232	213	misfit	misfit	nn1
38900	232	194	pertained	pertain	vvd
38920	232	160	three-fifths	three-fifths	mf
38940	232	63	e-book	e-book	nn1
38960	231	217	incontrovertible	incontrovertible	jj
38980	231	194	turbans	turban	nn2
39000	231	136	cryogenic	cryogenic	jj
39020	230	220	jaw-dropping	jaw-dropping	jj
39040	230	209	free-form	free-form	jj
39060	230	192	hallucinatory	hallucinatory	jj
39080	230	146	cambodians	cambodian	nn2
39100	229	225	bleary-eyed	bleary-eyed	jj
39120	229	211	uncoordinated	uncoordinated	jj
39140	229	173	pendants	pendant	nn2
39160	229	115	neuropsychological	neuropsychological	jj
39180	228	219	tussle	tussle	nn1
39200	228	208	dialed	dial	vvn
39220	228	192	accented	accented	jj
39240	228	156	caddies	caddy	nn2
39260	228	71	druids	druid	nn2
39280	227	214	high-strung	high-strung	jj
39300	227	187	wirelessly	wirelessly	rr
39320	227	120	filers	filer	nn2
39340	226	218	nauseating	nauseating	jj
39360	226	201	rasping	rasping	jj
39380	226	159	progressions	progression	nn2
39400	226	80	beekeepers	beekeeper	nn2
39420	225	211	squared	square	vvd
39440	225	193	illegality	illegality	nn1
39460	225	137	dinky	dinky	nn1
39480	224	214	tired	tire	vvd
39500	224	205	persuasions	persuasion	nn2
39520	224	186	crack	crack	jj
39540	224	151	ionized	ionized	jj
39560	223	214	relaying	relay	vvg
39580	223	206	christmases	christmas	nn2
39600	223	185	miscommunication	miscommunication	nn1
39620	223	135	reparation	reparation	nn1
39640	222	215	blessedly	blessedly	rr
